INPUT:image	INPUT:label	INPUT:task-id	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:worker_id
http://sdcimages.s3.yandex.net/nirvana/22933d90-e11d-4d81-bbfc-978418fe522a	pedestrian	18	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/65cec446-46d2-4ca2-915d-31f92d4d98ad	give_way	242	give_way				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/4530f268-2be8-4f13-b56a-204c221b02a3	pedestrian	48	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/302325bb-b720-4b9e-aee6-6f4b272c9357	bus_stop	81	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/2720c79a-5625-4a22-bc02-db40b2e55531	give_way	232	give_way				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/e2c76ade-5c45-495a-af4a-ebb05334a7b2	no_stop	119	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/adf21d2b-fdba-4e06-908e-a53f63a34379	bus_stop	89	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/ee88b36a-916f-492f-ac71-3fe01d210659	no_stop	125	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/d507cb6a-734b-4fd0-91f3-5c4b64b4d53c	pedestrian	2	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/c1911eba-4b86-483b-9f9a-2f82246257b5	no_stop	112	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/05150899-8508-4bc4-8b8b-0b9ab70d9e85	give_way	234	give_way				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/313af599-eb34-4812-9cf4-53b39bb96a45	pedestrian	12	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/b1e68880-b4b8-4f92-b278-4668e9850591	give_way	213	give_way				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/f7c91483-46c5-45b4-b269-f5c9e4ca7c71	pedestrian	36	no				aaf0ace564a3b249dce50763e334a26f
http://sdcimages.s3.yandex.net/nirvana/a9c38455-7001-4e43-ae4d-f8c9fbbb4760	pedestrian	39	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/973772aa-8a65-4328-9818-e2c968929886	bus_stop	99	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/ca153e59-925e-404a-a2cf-61a02a9b21f1	pedestrian	14	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/a17c5c32-afcd-4932-b0f1-00797ea35faf	bus_stop	82	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/f4432d65-bf83-417d-9199-e19ab7ce4e63	pedestrian	21	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/05150899-8508-4bc4-8b8b-0b9ab70d9e85	give_way	234	give_way				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/0ec4901d-0e9a-4767-9bd2-849d8c839745	no_stop	148	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/f7c91483-46c5-45b4-b269-f5c9e4ca7c71	pedestrian	36	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/31e2681b-3036-411d-b15e-46faf4eb02f7	pedestrian	5	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/274e0980-b513-45bd-9c7d-335b7e45236d	no_stop	107	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/36d9a386-571c-4ddc-bcd2-1ccd9de414c3	pedestrian	50	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/1bfd0363-956e-4910-8408-cf015da4fc58	give_way	247	give_way				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/0436a393-4882-494c-9c7e-0b58b5fdc9bc	bus_stop	85	no				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/b1e68880-b4b8-4f92-b278-4668e9850591	give_way	213	give_way				f2ca3d107543223122d74437faf968dd
http://sdcimages.s3.yandex.net/nirvana/384d3425-e376-4b12-ae30-47d4bb2ab06b	pedestrian	49	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/1231c7a1-5bf1-4b66-a84c-afa08a6478fc	give_way	228	give_way				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/8cdadea8-a047-40d2-aa33-cf1a1de465d1	give_way	245	give_way				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/f4432d65-bf83-417d-9199-e19ab7ce4e63	pedestrian	21	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/36d9a386-571c-4ddc-bcd2-1ccd9de414c3	pedestrian	50	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/1e897152-fb84-46f0-a49f-80e6da5904e6	give_way	248	give_way				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/0a2ee59e-b0dd-41ad-a24d-828ea9530062	give_way	215	give_way				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/7269b427-96ef-4638-981a-1dc2064c813c	bus_stop	91	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/84d7947c-c348-4097-a40d-2c16d5732c12	no_stop	137	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/2e1a7fe5-1ef5-4285-960c-265868c40031	give_way	206	give_way				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/6c98f05c-565d-4f46-bb35-0837e0bab940	pedestrian	1	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/bf780857-ee17-4de2-84cc-58b878523a35	pedestrian	24	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/060b59c6-efc3-4143-97f3-c0e8912449f2	bus_stop	61	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/1bbe7da7-42e1-48aa-a003-2b0856c9656c	pedestrian	31	no				e2731d9c6f65ac223437b5d8c2d1b402
http://sdcimages.s3.yandex.net/nirvana/22933d90-e11d-4d81-bbfc-978418fe522a	pedestrian	18	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/c1911eba-4b86-483b-9f9a-2f82246257b5	no_stop	112	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/509cd095-692d-46cc-967c-674fbc3220dd	bus_stop	98	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/a17c5c32-afcd-4932-b0f1-00797ea35faf	bus_stop	82	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/0436a393-4882-494c-9c7e-0b58b5fdc9bc	bus_stop	85	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/4530f268-2be8-4f13-b56a-204c221b02a3	pedestrian	48	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/20833be0-4449-475b-aa09-9cc130ca831b	pedestrian	25	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/1bfd0363-956e-4910-8408-cf015da4fc58	give_way	247	give_way				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/f7c91483-46c5-45b4-b269-f5c9e4ca7c71	pedestrian	36	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/32226e6b-de2e-46b7-86b1-4f0e00f3f034	give_way	202	give_way				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/1473ac86-9d51-43b4-a6a9-77e45f0e945d	bus_stop	55	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/2720c79a-5625-4a22-bc02-db40b2e55531	give_way	232	give_way				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/6a512e5e-bf51-49a8-8ae9-ad1486c551df	no_stop	115	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/25d8b67e-3876-45e6-aad9-cf2724e25071	bus_stop	72	no				ebbd9ee486c5f819bd8cecbd22f7b87c
http://sdcimages.s3.yandex.net/nirvana/973772aa-8a65-4328-9818-e2c968929886	bus_stop	99	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/f088942a-d29a-4648-8bd9-42fc9dc4effd	bus_stop	90	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/cc814f8b-51d2-4ef5-8ba0-1efd5d5ae40a	no_stop	118	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/d7fa23d0-26d7-439a-acce-61228e849ff1	no_stop	124	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/a9c38455-7001-4e43-ae4d-f8c9fbbb4760	pedestrian	39	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/43c22b6c-eb85-4fe8-b8c5-3e1b130aa71f	no_stop	139	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/283529e0-d8e7-4667-be78-3b574c506eb6	bus_stop	59	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/0ec4901d-0e9a-4767-9bd2-849d8c839745	no_stop	148	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/313af599-eb34-4812-9cf4-53b39bb96a45	pedestrian	12	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/cc3dc295-fc6e-4b2a-84cb-88b9afae7ef6	pedestrian	32	no				0484196501e7ace5a01fc15fb997a1f2
http://sdcimages.s3.yandex.net/nirvana/274e0980-b513-45bd-9c7d-335b7e45236d	no_stop	107	no				0484196501e7ace5a01fc15fb997a1f2
