INPUT:name_pair_1	INPUT:name_pair_2	OUTPUT:result	CONFIDENCE:result	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c59ac95caf1737d19dbd0c.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6294c7c0e14f7b062a0692ac.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c631596843180ef8f200a0.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--625f22c7f8ef0a67d1284a45.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--630d6c81b5470b3f33726755.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63072ee6dd4a291311ab4f02.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--637f9de0b1f68211fe19c7d1.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6344715a3c090e40cdd4b2c5.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62547dbcec464b057f2c915b.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6289ee3c4849b9176d42595c.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63490ed5666b244cee069215.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--625f3f735aa19e0c19a43aa8.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622395d3d9295779c05ffabe.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6221a9e201e8e26d1103db12.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63760059bb79c0321f66aba3.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63610c1d7d44a5504d52bc67.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6228546cf2f0126f42f7b1ad.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62d6668be5b3ac4f8af7dd30.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--625ff1a1b1f48c0748dbb21e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6276518a83e89b5fc701405b.jpg	yes	100.00%	
