
INPUT:task-id	INPUT:comment	INPUT:label
0	экскурсии  вторник и четверг 12:15, 13:30, 14:45. Экскурсии	ad
1	Мойка самообслуживания 24/7 Аллес Гуд. Работаем 24/7	ad
2	Строительные работы, мелкие работы.. Наш сайт universal-22.ru	ad
3	Приму заказ на парфюм. С ног сшибательны аромат	ad
4	✅Мы предлагаем приобрести б/у технику в нашем магазине!. Бытовая техника бу от 6000р.	ad
5	Услуга выезда дизайнера по шторам. Шторы жалюзи каарнизы в Рвменском	ad
6	Ленинградская область. Эльбрус Удаление деревьев частями	ad
7	Натяжные потолки 75111. Качество, гарантия,доступная цена.	ad
8	Обращайтесь в любое время. Выполняю заказ Недорого и Качественно	ad
9	Лежанки с гамаком снова в наличии 😺. Размеры: 48*48*48см Можно стирать Цена: 1500₽	ad
10	Автозапчасти. Запчасти для иномарок с доставкой http://cardan26.ru/	ad
11	Ремонт стиральных машин. Установка диагностика ремонт  https://classmaster.simdif.com	ad
12	Приглашаю к сотрудничеству!. Элитная корейская косметика и уход за домом! 8(916)5895625	ad
13	Акция осенью 2020. Осенью  скидка 15% на ремонт индукционных плит на дому!	ad
14	"""Black Gryphon"" Studio Shutterstock. https://www.shutterstock.com/image-vector/lines-colorful-abstract-cloth-fashion-graphic-1232119195"	ad
15	ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ. ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ В ЛЮБОМ СОСТОЯНИИ  8904-057-91-81	ad
16	Бочки б.у. Чистые 170л-1400р,227 л 1300-1500р,ЕВРОКУБ мытый 5000р..тел 8-951-443-48-55	ad
17	Нужны отзывы!!. Кто заказываю тут окна, поделитесь отзывами https://oknolider.ru/	ad
18	Акция: мк коронка 10.000 р. Металлокерамическая коронка (Германия) под ключ 10 000 руб.	ad
19	Срочная помощь для Вашей техники. Лучше вернуть в строй 15-ти летнюю технику чем покупать новую	ad
20	Предлагаю  поверку приборов учета воды на дому без снятия. Аккредитация Официально 89267248817  +7 (499) 372-04-03  +7 (499) 347-58-52  +7 (499) 340-14-38	ad
